@relation fuzzy
@attribute a numeric
@attribute b numeric
@attribute s numeric
@data
%input1,input2, output3
110.2533705	,	-0.000805445	,	44.24545459
109.6895758	,	-0.000805421	,	44.19737497
109.1258079	,	-0.000805383	,	44.14929762
108.5620767	,	-0.00080533	,	44.10122338
107.9983922	,	-0.000805264	,	44.05315311
107.4347642	,	-0.000805183	,	44.00508763
106.8712026	,	-0.000805088	,	43.95702779
106.3077172	,	-0.000804979	,	43.90897445
105.744318	,	-0.000804856	,	43.86092844
105.1810148	,	-0.000804719	,	43.8128906
104.6178175	,	-0.000804568	,	43.76486178
104.054736	,	-0.000804402	,	43.71684282
103.49178	,	-0.000804223	,	43.66883457
102.9289596	,	-0.000804029	,	43.62083786
102.3662845	,	-0.000803822	,	43.57285354
101.8037645	,	-0.0008036	,	43.52488245
101.2414096	,	-0.000803364	,	43.47692544
100.6792297	,	-0.000803114	,	43.42898334
100.1172344	,	-0.00080285	,	43.38105699
99.55543379	,	-0.000802572	,	43.33314725
98.9938376	,	-0.00080228	,	43.28525494
98.43245569	,	-0.000801974	,	43.23738091
97.8712979	,	-0.000801654	,	43.189526
97.31037407	,	-0.00080132	,	43.14169105
96.74969403	,	-0.000800971	,	43.0938769
96.1892676	,	-0.000800609	,	43.04608438
95.62910461	,	-0.000800233	,	42.99831435
95.06921488	,	-0.000799842	,	42.95056763
94.50960823	,	-0.000799438	,	42.90284507
93.95029447	,	-0.00079902	,	42.8551475
93.39128342	,	-0.000798587	,	42.80747576
92.83258487	,	-0.000798141	,	42.7598307
92.27420863	,	-0.00079768	,	42.71221314
91.7161645	,	-0.000797206	,	42.66462393
91.15846228	,	-0.000796717	,	42.61706389
90.60111175	,	-0.000796215	,	42.56953387
90.04412269	,	-0.000795699	,	42.52203471
89.4875049	,	-0.000795168	,	42.47456724
88.93126814	,	-0.000794624	,	42.42713228
88.37542219	,	-0.000794066	,	42.37973069
87.81997681	,	-0.000793493	,	42.33236329
87.26494177	,	-0.000792907	,	42.28503092
